Note	Frequency (46865 in total)
(why	3
2)	3
2/3/4?	3
234	3
3/4/5	3
3/5	3
3pp	3
5cm	3
5dp	3
5nd	3
5pull	3
a2	3
a5	3
aren't	3
b-->	3
b/g?	3
b/w	3
b2e	3
b3/i4	3
bluffed	3
bombs	3
choice	3
conventionally	3
course	3
cut	3
die	3
directly	3
dobi	3
dont	3
echo	3
everybody	3
fine	3
finessed	3
fire	3
g/m	3
g/r?	3
g3-->	3
g3/4	3
gandalf	3
gray	3
gs/5	3
gt	3
higher	3
i/b	3
i1-->	3
idea	3
impossible	3
inverse	3
jack	3
k3/4	3
killing	3
lock	3
lololol	3
lvl12	3
lvl16	3
lvl3	3
lvl5	3
m3-->	3
mel	3
murphy	3
nitrate	3
nobody	3
o/t	3
onen	3
p2-->	3
p5-->	3
pablo	3
passing	3
pretty	3
r/b/p	3
r/b?	3
r/g/p	3
r/g?	3
r/k	3
r/y	3
r/y?	3
r2/3	3
r4?)	3
r?)	3
rank	3
refusing	3
s1	3
s3	3
saving	3
scream-->	3
she	3
stealing	3
t17:	3
t8:	3
teal	3
tried	3
u1	3
utp	3
variant	3
witt	3
wtf	3
y/b?	3
y/r	3
y3-->	3
yet	3
(2/3?)	2
(also	2
(likely	2
(must	2
(my	2
(so	2
(technically	2
(why?)	2
1's	2
1/2/5	2
1/5	2
1/s?	2
1:1	2
1:1?	2
2/3/5	2
2/3/c4	2
2/3/k4	2
2/4/5	2
3)	2
3/5?	2
34	2
5-->	2
5-save	2
5-stall?	2
5pp	2
???????	2
????????	2
?????????	2
???????????	2
[cm]??	2
[f]??	2
a/b?	2
am	2
ambiguous	2
amy	2
andrew	2
anxiety	2
anything	2
b/2	2
b/a?	2
b/i	2
b/i?	2
b/k	2
b/y?	2
b23/i4	2
b3/m2	2
b?)	2
before	2
being	2
bluff)	2
bombing	2
brown	2
bubblegum	2
c1	2
c2	2
cancel	2
choose	2
clearer	2
clued	2
cocoa	2
confused	2
crazy	2
db	2
delay	2
discarded	2
dmoney	2
draw	2
duck	2
duke	2
earlier	2
easy	2
elim-->?	2
elim--?	2
even	2
exception	2
explicitly	2
failed	2
fast	2
finesses	2
free	2
g/a	2
g/b/p	2
g/p	2
g1-->	2
g1/s?	2
g3/m234	2
g4)	2
g4/i3	2
g5?)	2
generation	2
gr	2
greedy	2
guy	2
happen	2
he's	2
here-->	2
him	2
hoodie	2
i/p	2
i/r	2
i/y	2
i4-->	2
idc	2
ilegal	2
intentionally	2
inv	2
inversion	2
it?)	2
k)	2
kevin	2
kick	2
kidding	2
knew	2
l1	2
letting	2
liar	2
livia	2
locked	2
lotem	2
lvl	2
lvl15	2
m/b	2
m/y	2
m2/3?	2
m23/g3	2
m25	2
m34	2
m45	2
m5-->	2
man	2
mango	2
n5-->	2
necessary	2
negative	2
noooo	2
noooooooooo	2
nooooooooooooooooooo	2
note-->	2
null	2
occupied	2
ocm	2
omni	2
order	2
otherwise	2
p/g	2
p/y	2
p3/m234	2
p5/s?	2
padi	2
pang	2
passed	2
patched	2
play)	2
play-->??	2
plus	2
pmp	2
pos	2
possum	2
pov	2
prefer	2
prioritize	2
prism	2
r/i	2
r/i?	2
r/p/i	2
r/y/b	2
r2/3/4	2
r2/4?	2
r2/r3	2
r3)	2
r3-->	2
r4-->	2
rb	2
recluing	2
reversed	2
ricard	2
rid	2
right-most?	2
rip	2
risk	2
risky	2
s/n?	2
s4	2
safe	2
said	2
saves	2
screamed	2
sdcm	2
should've	2
shout	2
silly	2
sin	2
sky	2
something-->	2
stakk	2
stalls	2
suspect	2
t11:	2
t13:	2
t1:	2
t20:	2
t2:	2
t34:	2
t35:	2
t3:	2
t42:	2
t45:	2
t5:	2
t6:	2
t9:	2
tailz	2
talk	2
then	2
try	2
twice	2
u4	2
udd-->	2
unfortunately	2
unknown	2
unnecessary	2
up	2
valetta	2
w/e	2
w5	2
win	2
worth	2
y/g?	2
y/i	2
y/p	2
y1-->	2
y2/3	2
y23	2
y3/4?	2
y3/m4	2
y4-->	2
y5/m1	2
you're	2
yup	2
zakisan	2
zamiel	2
!	1
!g...	1
(2/5?)	1
(5)	1
(amb)	1
(ambig)	1
(ambig...)	1
(b5??)	1
(better	1
(both?	1
(certain	1
(echo	1
(elim	1
(f?)	1
(fixme??)	1
(g	1
(globally)	1
(good	1
(hidden	1
(hidden?)	1
(hopefully)	1
(how	1
(how?)	1
(i4??)	1
(if	1
(illegal?)	1
(is	1
(just	1
(k/i)	1
(kakashi	1
(known?)	1
(let's	1
(m5	1
(m?)	1
(murphy	1
(no	1
(p2)	1
(prio)	1
(purple	1
(r2/b2/p2/n2?)	1
(r2/y1)	1
(r3/p3/p4)	1
(r4?)	1
(r5?)	1
(rank	1
(rgbp)	1
(shouldn't	1
(subpot	1
(this	1
(until	1
(what?)	1
(will	1
(you	1
(zero	1
-->?	1
0	1
0:1	1
1's?	1
1-for-1	1
1-for-1?	1
1/2	1
1/2?	1
1/3?	1
1/m2	1
1/n2	1
101	1
11:	1
12	1
1245	1
1:	1
1loaded	1
2's	1
2-->	1
2-save	1
2/3/i4	1
2/3/m3	1
2/4??	1
2/y4	1
23	1
2345	1
235	1
245	1
3-->?	1
3-bluff	1
3-bluff?	1
3-bluffs...	1
3/2?	1
3/4/5?	1
3/m4	1
345	1
3?)	1
4-->	1
4/3	1
4/i2	1
45	1
4pp	1
5)	1
5+red	1
5-4?	1
5-pull?	1
5-stall	1
5-stall)	1
5/2	1
5/3	1
5/i3	1
5/m4?	1
5/o	1
5pull-->	1
5s-->	1
5stall	1
8	1
9	1
>	1
??????????	1
????????????	1
??????????????	1
???????????????	1
?????????????????????	1
??????????????????????	1
?????????????????????????????//	1
[4]	1
[5]	1
[cm]???	1
[cm]b4?	1
a/g	1
a/p	1
a/p?	1
a/r	1
accidently	1
ace	1
advanced	1
agy	1
aitch	1
all	1
already	1
alredy	1
although	1
amb-self	1
animex	1
anyway	1
available	1
avinash	1
avoid	1
avoiding	1
away	1
b&r-->	1
b)	1
b/8cs	1
b/a	1
b/g/i	1
b/g/o?	1
b/g/p	1
b/m	1
b/n	1
b/p/(y)?	1
b/t	1
b1)	1
b1/o2	1
b1/s	1
b1/s?	1
b1?)	1
b2-->	1
b2.g2-->	1
b2/3?	1
b2/i4?	1
b2/p3	1
b2/y2?	1
b23/m34	1
b23/m4/i4	1
b2?)	1
b3's	1
b3-->	1
b3/4	1
b3/4?	1
b3/b4?	1
b3/g3?	1
b3/i3/m234	1
b3/m234	1
b3/m3/c234	1
b3/m3/i4	1
b3/m4	1
b3/m4?	1
b3/m5	1
b3?)	1
b4)	1
b4+sap4	1
b4-->	1
b4/m4	1
b4?)	1
b5/4	1
b5/i4	1
b5/s?	1
banana	1
bb	1
been	1
beginner...)	1
best	1
better)	1
bgy	1
black-->	1
blame	1
blindplay	1
bluff...)	1
bluffs	1
bluffs)	1
blunder	1
bm	1
bob	1
bonja's	1
both)	1
both-->?	1
braydon	1
bt	1
busy	1
c234/bm23	1
c5	1
cancell	1
cant	1
castle	1
catula	1
choice)	1
chose	1
chosse	1
chris	1
christophe	1
clearly	1
clicked	1
clue-->	1
cm-->	1
cms	1
confuse	1
confusing	1
consider	1
cont	1
contradicting	1
cool	1
couldn't	1
count	1
critical	1
d	1
d2	1
d3	1
d5	1
danger	1
day	1
dda->	1
decide	1
decision	1
deferred	1
delayed	1
demonstrating	1
depending	1
depends	1
deserve	1
destroy	1
destroyed	1
di	1
directly...)	1
discard>	1
discards	1
discrad	1
dm	1
dmoney's?	1
double-bluff	1
double-bluff?	1
doubt	1
dp	1
dupe-->	1
duplicate	1
duplicated	1
earlier)	1
echoes	1
ejected	1
elamate	1
eli	1
elim&dda-->	1
elim--	1
elim-->??	1
elim??-->	1
elimination	1
else	1
ending	1
ever	1
everybody:	1
example	1
explicitly?)	1
f)	1
f)-->	1
f4	1
f]	1
fafrd	1
fake?)	1
fan	1
fancy	1
far	1
faster	1
fault)	1
fault?)	1
fey	1
figure	1
figuring	1
finally	1
finesse...)	1
finesse?)	1
fiora	1
fireheart	1
fishy	1
fix)	1
fixed-->	1
fixes	1
fixme)	1
fixme/	1
fixme?)	1
florian	1
florian's?	1
follow	1
forever	1
forlman	1
fowill	1
free)	1
fun	1
g)	1
g-->	1
g/b?	1
g/i3	1
g/i?	1
g/k	1
g/o	1
g/p/i?	1
g/w	1
g/y/r	1
g1/m1???	1
g1/y1?	1
g2/3?	1
g2/d3	1
g2/m2	1
g2/m23	1
g2/r2?	1
g23/c23	1
g23/m43	1
g23/o3	1
g24/m234	1
g24/m3	1
g3)	1
g3/i3	1
g3/o234	1
g3/t4	1
g34	1
g34/m234/c234	1
g3?)	1
g4/5?	1
g4/m24?	1
g4/m3/i3	1
g4/m3?	1
g4/m4?	1
g5-->	1
g5/i5?	1
g5/m3	1
g5/m5	1
game-losing	1
gd-->	1
generating	1
gentleman's	1
gmy	1
go	1
got	1
gs/g1?	1
gt)	1
gtb-->	1
guarantee	1
guessed	1
guessing	1
guide	1
hand-->	1
hard-burn?	1
harm	1
has	1
heal	1
her	1
here)	1
here?)	1
hesi	1
hesitate	1
him)	1
i)	1
i.legal	1
i/5	1
i/c/o	1
i/g	1
i/t	1
i1/m3	1
i1/s?	1
i2-->	1
i2/m4	1
i2/m45	1
i23/m34	1
i3(	1
i3-->	1
i3/4	1
i3/m3	1
i3/m4?	1
i3/o2	1
i34/m34	1
i4-->?	1
i4/m4	1
i5)	1
i5/o5	1
ideal	1
ilegal)	1
illegas	1
immediately	1
incorrect	1
indego	1
information	1
insead	1
interpret	1
inverted	1
isntead	1
it...)	1
iullo	1
jake	1
jeff	1
joel	1
k2-->	1
k2/o23	1
k234/m23	1
k234/m3?	1
k3)	1
k3/k4	1
k34	1
k34/m45?	1
k4/o	1
k5-->	1
k?)	1
kile	1
kills	1
kimb	1
kimbi	1
kimbi?)	1
kinda	1
knaphill	1
kodo	1
koool	1
kopen	1
kr	1
kt/	1
l2/3	1
l23/f3	1
l4/t5	1
lafayettex	1
lame	1
lan	1
least	1
leave	1
left	1
left-most	1
legally	1
lel	1
less	1
letical	1
level1	1
level?)	1
lhs)	1
lies	1
lies...)	1
load	1
loaded+occupied	1
lol)	1
lolol	1
lolololol	1
long	1
looking	1
lool	1
lose	1
lost	1
low	1
lvl11	1
lvl14	1
lvl19	1
lvl8	1
m/g	1
m/g/b?	1
m/p	1
m/r	1
m/r/b	1
m/t	1
m/u?	1
m1-->	1
m1/b4	1
m1/g3	1
m2)	1
m2/3/5	1
m2/4?	1
m2/5?	1
m2/b1?	1
m2/b2	1
m2/k34	1
m2/m3	1
m2/n12	1
m23	1
m23/i34	1
m23/o3	1
m234/r23	1
m24/r5	1
m25/r4	1
m3/4	1
m3/4??	1
m3/b1	1
m3/b4	1
m3/g1	1
m3/n23	1
m3/n5	1
m3/r23	1
m3/r24	1
m3/r5	1
m34/r5?	1
m34/t4	1
m34/y23	1
m4/b3	1
m4/k234	1
m4/r2	1
m4/u25?	1
m4/y3	1
m4/y4?	1
m432/g23	1
m5)	1
m5/b3	1
m5/g4	1
m5/s?	1
macanek	1
many	1
markus	1
matching	1
messed	1
mice's?	1
misplay	1
mistakr	1
mp2/3	1
muhahahahahah	1
n/b?	1
n1-->	1
n123	1
n125	1
n2+n5??	1
n2-->	1
n2/3	1
n2/5	1
n2/5?	1
n23/m2.	1
n25	1
n3)	1
n4-->	1
n4/m4	1
n4/m5	1
navy	1
needs	1
neg	1
neg4	1
neither	1
newsun	1
next	1
nit	1
nm	1
nms	1
no)	1
no-no	1
no?)	1
noooooo	1
nooooooo	1
nooooooooooo	1
nor	1
normally	1
note	1
notes	1
nothing-->	1
nubmer	1
o/c??	1
o/l	1
o/p	1
o/t?	1
o2/3	1
o2/i2	1
o234	1
o3/4	1
o3/b23	1
o3/t23	1
o34/y234	1
o5-->	1
o5/c4?	1
o?/t5	1
omg	1
ooh	1
ooof	1
ooofff	1
oooooops	1
opener	1
opl	1
optimal	1
original	1
othnia	1
p-->	1
p/g/m	1
p/k?	1
p/m	1
p/m?	1
p/o/t/n	1
p/t	1
p/t/n	1
p/w	1
p/y?	1
p1-->	1
p1/5	1
p1/s??	1
p1s	1
p2)	1
p2+3?	1
p2/3	1
p2/3?	1
p2/r1?	1
p23/o234	1
p24/m4?	1
p3)	1
p3/4?	1
p3/i5	1
p4)	1
p5?)	1
p>	1
pants	1
people	1
peppix	1
permission	1
pestilent	1
pf'ed	1
pfix	1
piper	1
plan	1
plan:	1
plat	1
play&prio	1
play???????????????????????/	1
playable)	1
plays)	1
pog	1
point	1
poor	1
pp?)	1
ppp	1
pr	1
prepare	1
pretend	1
principle	1
probable	1
problematic	1
promise?)	1
protect	1
pulls	1
pushed	1
r)	1
r+g?	1
r/b/g	1
r/g...	1
r/g/i	1
r/g/m	1
r/m	1
r/p/	1
r/p/b	1
r/p?	1
r/y/b?	1
r/y/m?	1
r/y/p	1
r/y/t	1
r1/	1
r1/b2/i2	1
r1/m2??	1
r1udd	1
r2)	1
r2/3/m3	1
r2/3?	1
r2/g2?	1
r2/i15s	1
r2/m2	1
r2/m4	1
r3/4	1
r3/4?	1
r3/c23	1
r3/c234	1
r3/m2	1
r3/m23	1
r3/m4?	1
r3/o3?	1
r3/u3?	1
r3/w3	1
r34	1
r34/m4	1
r4)	1
r4/5	1
r4/m23/o234	1
r4/m5?	1
r4/o23	1
r4/o5	1
r4/y3?	1
r4/y4	1
r5/m3	1
r5/m3?	1
r5/m4	1
r5/p5?	1
r5/s?	1
read-->	1
realize	1
reall	1
reason	1
reasonable	1
reaver	1
recognizes	1
red)	1
redistribute	1
redistribution	1
reds	1
resolve	1
responsibility	1
rev	1
right?)	1
robense	1
roelant	1
romain	1
rs	1
s/n	1
s1-->	1
s3/4	1
s5	1
sacrify	1
same	1
sap	1
sap/sky	1
savable	1
save)	1
saved	1
saw	1
sd	1
sd[cm]	1
sdcm?)	1
seat	1
sees	1
self-cm	1
self-finesse	1
self-fix	1
self-prompt?	1
sensitive	1
shadow	1
shaked	1
shalt	1
sharp	1
short	1
shortest	1
shoudn't	1
shouln't	1
shoult	1
shouted	1
signs	1
simple	1
simpler	1
since	1
single	1
skip	1
sky1	1
sky4	1
sleep	1
sleeping	1
slow...)	1
small	1
smart	1
smells	1
socerman	1
some2	1
someone	1
soon	1
sort	1
speed	1
speed-up	1
spieler	1
stale...)	1
stalled	1
starting	1
starts	1
stomped	1
sturm	1
suicide	1
sume	1
super-smart	1
surprised	1
syrah	1
t/g?	1
t/i/c	1
t/m	1
t/m/f	1
t/n/m	1
t10	1
t10:	1
t14)	1
t14:	1
t15	1
t16:	1
t18:	1
t2-->	1
t21	1
t22:	1
t23:	1
t25	1
t28	1
t3/m4	1
t31	1
t34	1
t35	1
t37:	1
t38:	1
t39	1
t40:	1
t43	1
t46:	1
t47	1
t47:	1
t48:	1
t4:	1
t51:	1
t53	1
t54:	1
t9	1
tabletalk-->	1
talked	1
target	1
targets	1
tc	1
tcm	1
tcm-->	1
teach	1
teal?)	1
tell	1
tells	1
tempoing	1
tempting...)	1
test	1
that???)	1
thay	1
the5	1
there	1
they're	1
third	1
this)	1
this-->	1
this?)	1
this???????????????????????????????//	1
those	1
though	1
thought	1
timehoodie	1
timing	1
timotree	1
touch)	1
tp	1
transfer	1
trashh	1
tries	1
triple-bluff?	1
trolling	1
true	1
trush	1
trust-->	1
trust...)	1
trusts	1
tt?-->	1
ty	1
u	1
u/r4?	1
u2/u5	1
u25	1
u34/r234	1
uncluable	1
uncm	1
understand	1
unplayable	1
us	1
usually	1
utd	1
vtk	1
w/b?	1
w/k	1
w/m	1
w/r?	1
w/y	1
w/y/r	1
w2/p2?	1
w4-->	1
w5-->	1
waited	1
want	1
wasting	1
wgp	1
which	1
while	1
white	1
why?????????????????????/	1
whywhywhy	1
whywhywhywhywhy	1
whyyyyyyyyyyy	1
wlim-->	1
wonder	1
works	1
wortel	1
wow	1
y-->	1
y/b/o3	1
y/g/b	1
y/g/b/i	1
y/g/p	1
y/g/p?	1
y/r?	1
y/t	1
y/w?	1
y1+y3?	1
y1/s?	1
y2)	1
y2/m432	1
y2/o3	1
y2/o4	1
y23/o4	1
y2?)	1
y3/p3?	1
y34/o5	1
y3?)	1
y3?y4?	1
y4/5?	1
y4/b4	1
y4/i2	1
y4/m234	1
y4/m4	1
y4/o23	1
y4/p4	1
y4?)	1
y5/w4	1
y??)	1
yb	1
yell	1
yellow+5	1
yg	1
ygo	1
yolo	1
zak	1
zam's	1
zeinab	1
